year,crop_year,province_name,commod,subcommod,attribute,value,unit,data_date
2563,2563,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,8918250,ไร่,2025-03-06
2564,2564,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,10406314,ไร่,2025-03-06
2565,2565,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,9921058,ไร่,2025-03-06
2566,2566,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,9267954,ไร่,2025-03-06
2567,2567,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เก็บเกี่ยว,8873538,ไร่,2025-03-06
2563,2563,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,9439009,ไร่,2025-03-06
2564,2564,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,10919014,ไร่,2025-03-06
2565,2565,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,10861975,ไร่,2025-03-06
2566,2566,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,10511171,ไร่,2025-03-06
2567,2567,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,เนื้อที่เพาะปลูก,9321839,ไร่,2025-03-06
2563,2563,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิต,28999122,ตัน,2025-03-06
2564,2564,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิต,35094485,ตัน,2025-03-06
2565,2565,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิต,34068005,ตัน,2025-03-06
2566,2566,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิต,30616586,ตัน,2025-03-06
2567,2567,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิต,28624312,ตัน,2025-03-06
2563,2563,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,3252,กก./ไร่,2025-03-06
2564,2564,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,3372,กก./ไร่,2025-03-06
2565,2565,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,3434,กก./ไร่,2025-03-06
2566,2566,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,3303,กก./ไร่,2025-03-06
2567,2567,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,3226,กก./ไร่,2025-03-06
2563,2563,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เพาะปลูก,3072,กก./ไร่,2025-03-06
2564,2564,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เพาะปลูก,3214,กก./ไร่,2025-03-06
2565,2565,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เพาะปลูก,3136,กก./ไร่,2025-03-06
2566,2566,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เพาะปลูก,2913,กก./ไร่,2025-03-06
2567,2567,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,ผลผลิตต่อเนื้อที่เพาะปลูก,3071,กก./ไร่,2025-03-06
