year,crop_year,province_name,commod,subcommod,attribute,values,unit,data-date
2563,2563,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ยืนต้น,6221870,ไร่,2025-06-13
2563,2563,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ให้ผล,5870772,ไร่,2025-06-13
2563,2563,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิต,16221974,ตัน,2025-06-13
2563,2563,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิตต่อไร่,2763,กก.,2025-06-13
2564,2564,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ยืนต้น,6296871,ไร่,2025-06-13
2564,2564,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ให้ผล,6034046,ไร่,2025-06-13
2564,2564,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิต,16904704,ตัน,2025-06-13
2564,2564,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิตต่อไร่,2802,กก.,2025-06-13
2565,2565,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ยืนต้น,6419764,ไร่,2025-06-13
2565,2565,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ให้ผล,6134756,ไร่,2025-06-13
2565,2565,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิต,18588119.76,ตัน,2025-06-13
2565,2565,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิตต่อไร่,3030,กก.,2025-06-13
2566,2566,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ยืนต้น,6553666,ไร่,2025-06-13
2566,2566,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,เนื้อที่ให้ผล,6210480,ไร่,2025-06-13
2566,2566,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิต,18273629,ตัน,2025-06-13
2566,2566,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,ผลผลิตต่อไร่,2942,กก.,2025-06-13
